date,symbol,open,close,low,high,volume
2010-01-04,AAL,4.84,4.77,4.66,4.94,9837300.0
2010-01-05,AAL,4.79,5.31,4.71,5.37,25212000.0
2010-01-06,AAL,5.19,5.09,5.0,5.38,16597900.0
2010-01-07,AAL,5.06,5.24,5.05,5.43,14033400.0
2010-01-08,AAL,5.27,5.14,5.06,5.43,12760000.0
2010-01-11,AAL,5.13,5.04,4.94,5.23,10952900.0
2010-01-12,AAL,5.06,5.08,4.96,5.15,7870300.0
2010-01-13,AAL,5.12,5.48,5.02,5.5,16400500.0
2010-01-14,AAL,5.46,5.59,5.41,5.71,12767100.0
2010-01-15,AAL,5.64,5.5,5.43,5.84,10985300.0
2010-01-19,AAL,5.5,5.64,5.5,5.73,7807700.0
2010-01-20,AAL,5.65,5.74,5.61,5.89,13289100.0
2010-01-21,AAL,5.88,5.46,5.42,5.96,15641000.0
2010-01-22,AAL,5.48,5.24,5.11,5.52,11463400.0
2010-01-25,AAL,5.34,5.22,5.15,5.5,8168200.0
2010-01-26,AAL,5.21,5.05,5.05,5.28,8787500.0
2010-01-27,AAL,5.1,4.86,4.47,5.17,21655400.0
2010-01-28,AAL,4.99,5.14,4.71,5.22,19157300.0
2010-01-29,AAL,5.23,5.31,5.17,5.61,19094600.0
2010-02-01,AAL,5.43,5.6,5.35,5.63,10965100.0
2010-02-02,AAL,5.65,5.96,5.62,6.0,14363700.0
2010-02-03,AAL,5.94,5.66,5.65,5.98,9137400.0
2010-02-04,AAL,5.82,5.49,5.47,5.82,11591200.0
2010-02-05,AAL,5.5,5.89,5.43,6.03,18555800.0
2010-02-08,AAL,5.88,5.93,5.82,6.11,9765900.0
2010-02-09,AAL,6.15,6.44,6.15,6.49,20482500.0
2010-02-10,AAL,6.39,6.31,6.21,6.43,9782200.0
2010-02-11,AAL,6.3,6.32,6.22,6.52,14084500.0
2010-02-12,AAL,6.27,6.81,6.19,6.91,17096200.0
2010-02-16,AAL,6.93,6.88,6.75,7.0,21834000.0
2010-02-17,AAL,6.89,6.8,6.76,6.97,9148800.0
2010-02-18,AAL,6.75,6.73,6.65,6.81,6967700.0
2010-02-19,AAL,6.65,6.93,6.65,6.96,6210700.0
2010-02-22,AAL,6.97,7.02,6.97,7.23,11828600.0
2010-02-23,AAL,7.09,7.09,6.92,7.23,13810400.0
2010-02-24,AAL,7.14,7.17,7.06,7.21,8840200.0
2010-02-25,AAL,7.06,7.08,6.91,7.14,7673100.0
2010-02-26,AAL,7.06,7.33,7.06,7.4,8577100.0
2010-03-01,AAL,7.41,7.69,7.4,7.75,15370200.0
2010-03-02,AAL,7.74,7.68,7.5,7.82,9444100.0
2010-03-03,AAL,7.51,7.47,7.17,7.63,17457100.0
2010-03-04,AAL,7.48,7.32,7.24,7.55,8061900.0
2010-03-05,AAL,7.43,7.43,7.31,7.48,6454500.0
2010-03-08,AAL,7.45,7.32,7.3,7.57,6272800.0
2010-03-09,AAL,7.38,7.71,7.37,7.93,13877600.0
2010-03-10,AAL,7.8,7.94,7.8,8.17,9490400.0
2010-03-11,AAL,7.92,7.84,7.65,7.94,7152300.0
2010-03-12,AAL,7.97,7.95,7.71,8.0,11332300.0
2010-03-15,AAL,7.88,7.9,7.72,7.93,4790900.0
2010-03-16,AAL,7.93,7.77,7.73,7.96,5915400.0
2010-03-17,AAL,7.71,7.59,7.5,7.8,6795600.0
2010-03-18,AAL,7.55,7.5,7.5,7.73,4770400.0
2010-03-19,AAL,7.1,7.1,7.07,7.54,8532000.0
2010-03-22,AAL,7.08,7.27,6.81,7.38,8027200.0
2010-03-23,AAL,7.34,7.39,7.1,7.41,4717900.0
2010-03-24,AAL,7.27,7.41,7.27,7.52,4582900.0
2010-03-25,AAL,7.46,7.37,7.34,7.7,5305800.0
2010-03-26,AAL,7.42,7.3,7.28,7.61,4264400.0
2010-03-29,AAL,7.44,7.32,7.25,7.46,2837000.0
2010-03-30,AAL,7.31,7.22,7.19,7.4,3104800.0
2010-03-31,AAL,7.18,7.35,7.09,7.46,5262600.0
2010-04-01,AAL,7.37,7.4,7.3,7.49,3534900.0
2010-04-05,AAL,7.46,7.13,7.0,7.49,9860000.0
2010-04-06,AAL,7.12,7.08,7.01,7.28,6968700.0
2010-04-07,AAL,7.06,6.82,6.68,7.12,14103100.0
2010-04-08,AAL,7.84,7.55,7.44,7.87,52354500.0
2010-04-09,AAL,7.55,7.32,7.19,7.61,13561500.0
2010-04-12,AAL,7.4,7.62,7.4,7.66,12738800.0
2010-04-13,AAL,7.66,7.49,7.31,7.7,9568600.0
2010-04-14,AAL,7.54,7.42,7.37,7.63,14569200.0
2010-04-15,AAL,7.47,7.41,7.25,7.49,15963500.0
2010-04-16,AAL,7.42,7.15,7.01,7.42,10615100.0
2010-04-19,AAL,7.01,6.89,6.88,7.17,13149800.0
2010-04-20,AAL,6.99,7.14,6.9,7.14,9373100.0
2010-04-21,AAL,7.13,6.76,6.61,7.18,14816600.0
2010-04-22,AAL,6.66,6.47,6.29,6.91,24632000.0
2010-04-23,AAL,6.45,6.63,6.28,6.67,13416700.0
2010-04-26,AAL,6.68,6.48,6.45,6.72,12412100.0
2010-04-27,AAL,6.68,6.33,6.27,6.85,19599100.0
2010-04-28,AAL,6.64,7.32,6.33,7.39,29025100.0
2010-04-29,AAL,7.32,7.33,7.08,7.45,14635400.0
2010-04-30,AAL,7.31,7.07,7.03,7.57,11825800.0
2010-05-03,AAL,7.21,7.39,7.13,7.45,9169100.0
2010-05-04,AAL,7.29,6.86,6.76,7.29,10927700.0
2010-05-05,AAL,6.75,6.93,6.41,7.17,10337200.0
2010-05-06,AAL,6.85,6.39,5.7,7.09,21421000.0
2010-05-07,AAL,6.46,6.38,6.1,6.78,16288300.0
2010-05-10,AAL,6.88,6.95,6.66,6.96,8864600.0
2010-05-11,AAL,6.79,6.83,6.7,6.94,10397200.0
2010-05-12,AAL,6.89,7.3,6.87,7.31,9395100.0
2010-05-13,AAL,7.34,7.24,7.2,7.57,8830000.0
2010-05-14,AAL,7.1,7.09,6.9,7.2,10422900.0
2010-05-17,AAL,7.06,7.18,6.83,7.3,10667000.0
2010-05-18,AAL,7.32,7.0,6.92,7.32,6706500.0
2010-05-19,AAL,6.95,7.4,6.86,7.43,20272600.0
2010-05-20,AAL,7.1,6.84,6.81,7.23,12820800.0
2010-05-21,AAL,6.62,7.21,6.6,7.3,11074700.0
2010-05-24,AAL,7.19,7.04,7.03,7.48,8184300.0
2010-05-25,AAL,7.08,7.81,6.97,7.89,21409100.0
2010-05-26,AAL,7.92,8.45,7.84,8.84,30351100.0
2010-05-27,AAL,8.73,8.74,8.43,8.82,13400800.0
2010-05-28,AAL,8.73,8.83,8.55,8.97,11068300.0
2010-06-01,AAL,8.64,8.64,8.55,8.97,9995500.0
2010-06-02,AAL,8.82,9.44,8.82,9.55,19181700.0
2010-06-03,AAL,9.55,9.21,8.99,9.64,11392800.0
2010-06-04,AAL,8.84,8.59,8.56,9.03,10195600.0
2010-06-07,AAL,8.83,8.35,8.18,8.83,15159600.0
2010-06-08,AAL,8.55,8.58,8.16,8.65,9899100.0
2010-06-09,AAL,8.59,8.53,8.44,8.88,10296500.0
2010-06-10,AAL,8.93,9.16,8.82,9.24,10983900.0
2010-06-11,AAL,9.01,9.93,8.93,9.93,14799100.0
2010-06-14,AAL,10.15,9.66,9.65,10.27,12580500.0
2010-06-15,AAL,9.83,10.46,9.83,10.51,15766900.0
2010-06-16,AAL,10.3,10.57,10.25,10.87,16053000.0
2010-06-17,AAL,10.62,10.74,10.44,10.86,7690000.0
2010-06-18,AAL,10.63,10.44,10.24,10.8,8447400.0
2010-06-21,AAL,10.6,10.0,9.87,10.7,10743800.0
2010-06-22,AAL,9.92,9.47,9.33,10.15,13328000.0
2010-06-23,AAL,9.55,9.58,9.38,9.77,5844200.0
2010-06-24,AAL,9.56,9.57,9.44,9.93,7046400.0
2010-06-25,AAL,9.59,9.16,9.08,9.64,8991700.0
2010-06-28,AAL,9.19,9.08,9.08,9.42,5944900.0
2010-06-29,AAL,8.94,8.54,8.48,8.94,7837100.0
2010-06-30,AAL,8.73,8.61,8.51,9.05,7687900.0
2010-07-01,AAL,8.62,8.65,8.22,8.97,9042500.0
2010-07-02,AAL,8.71,8.19,8.06,8.79,7280100.0
2010-07-06,AAL,8.5,8.08,8.02,8.63,7195200.0
2010-07-07,AAL,8.36,9.32,8.27,9.35,14156600.0
2010-07-08,AAL,9.39,9.54,9.12,9.61,8351200.0
2010-07-09,AAL,9.49,9.54,9.27,9.65,6569400.0
2010-07-12,AAL,9.46,9.2,9.1,9.63,6380700.0
2010-07-13,AAL,9.35,9.33,9.29,9.55,8415400.0
2010-07-14,AAL,9.28,9.28,9.17,9.44,5781100.0
2010-07-15,AAL,9.27,9.11,8.85,9.29,6418800.0
2010-07-16,AAL,8.99,8.95,8.85,9.1,8012900.0
2010-07-19,AAL,9.0,8.62,8.05,9.0,15840800.0
2010-07-20,AAL,8.5,8.92,8.5,8.95,6788300.0
2010-07-21,AAL,9.45,9.21,9.16,9.81,20595500.0
2010-07-22,AAL,9.45,9.85,9.45,9.95,14386700.0
2010-07-23,AAL,9.77,10.35,9.76,10.4,12390000.0
2010-07-26,AAL,10.4,10.91,10.37,10.94,10034700.0
2010-07-27,AAL,11.1,10.54,10.41,11.15,10531300.0
2010-07-28,AAL,10.42,10.62,10.4,10.86,6602800.0
2010-07-29,AAL,10.74,10.66,10.31,10.84,7346000.0
2010-07-30,AAL,10.33,10.85,10.32,10.9,8362300.0
2010-08-02,AAL,11.0,10.64,10.64,11.4,14833300.0
2010-08-03,AAL,10.7,10.66,10.22,10.74,11759400.0
2010-08-04,AAL,10.77,10.03,9.75,10.91,16638900.0
2010-08-05,AAL,10.01,9.64,9.59,10.02,10034000.0
2010-08-06,AAL,9.53,9.49,9.32,9.71,7772100.0
2010-08-09,AAL,9.63,9.73,9.41,9.8,6493700.0
2010-08-10,AAL,9.54,9.72,9.38,9.83,6078600.0
2010-08-11,AAL,9.36,9.13,9.02,9.49,9429600.0
2010-08-12,AAL,8.93,9.23,8.82,9.47,6786200.0
2010-08-13,AAL,9.21,9.14,9.06,9.35,3661400.0
2010-08-16,AAL,9.06,9.21,8.95,9.33,3448300.0
2010-08-17,AAL,9.32,9.5,9.21,9.66,6308400.0
2010-08-18,AAL,9.49,9.61,9.42,9.71,3411600.0
2010-08-19,AAL,9.59,9.19,9.19,9.83,8988500.0
2010-08-20,AAL,9.11,9.1,8.79,9.18,6564900.0
2010-08-23,AAL,9.21,8.89,8.87,9.48,6120100.0
2010-08-24,AAL,8.69,8.75,8.53,8.93,8075700.0
2010-08-25,AAL,8.71,8.78,8.42,8.79,6686200.0
2010-08-26,AAL,8.91,8.64,8.63,9.02,3823900.0
2010-08-27,AAL,8.83,9.15,8.4,9.22,7776600.0
2010-08-30,AAL,9.23,8.87,8.86,9.53,7256700.0
2010-08-31,AAL,8.75,9.04,8.66,9.2,7178900.0
2010-09-01,AAL,9.33,9.56,9.17,9.59,7020000.0
2010-09-02,AAL,9.59,9.65,9.46,9.79,5675800.0
2010-09-03,AAL,9.91,9.97,9.79,10.17,4815600.0
2010-09-07,AAL,9.88,9.54,9.52,9.9,4075800.0
2010-09-08,AAL,9.57,9.49,9.4,9.7,3521100.0
2010-09-09,AAL,9.72,9.11,9.04,9.72,7502600.0
2010-09-10,AAL,9.18,8.79,8.76,9.21,8170600.0
2010-09-13,AAL,9.07,8.6,8.59,9.07,8151100.0
2010-09-14,AAL,8.65,8.78,8.51,9.01,7715900.0
2010-09-15,AAL,8.74,8.91,8.72,9.0,3523400.0
2010-09-16,AAL,8.87,9.12,8.64,9.14,6586900.0
2010-09-17,AAL,9.18,9.08,8.95,9.2,6530700.0
2010-09-20,AAL,9.1,9.21,9.08,9.32,3991100.0
2010-09-21,AAL,9.31,9.54,9.23,9.59,7863100.0
2010-09-22,AAL,9.49,8.96,8.84,9.53,10195300.0
2010-09-23,AAL,8.84,8.83,8.76,9.0,6472100.0
2010-09-24,AAL,8.97,8.99,8.91,9.03,4193600.0
2010-09-27,AAL,9.28,9.29,9.25,9.55,8289300.0
2010-09-28,AAL,9.32,9.24,9.13,9.37,5156800.0
2010-09-29,AAL,9.24,9.06,9.05,9.26,4853200.0
2010-09-30,AAL,9.14,9.25,9.05,9.27,5015900.0
2010-10-01,AAL,9.29,9.29,9.21,9.39,3603800.0
2010-10-04,AAL,9.24,9.12,9.05,9.48,3856800.0
2010-10-05,AAL,9.27,9.23,9.15,9.35,3896600.0
